Years,Character,Percentage
1946-48,Democrats,16.81
1949-52,Democrats,19.08
1953-56,Democrats,10.95
1957-60,Democrats,13.13
1961-64,Democrats,19.4
1965-68,Democrats,20.94
1969-72,Democrats,7.09
1973-76,Democrats,4.31
1946-48,Republicans,16.52
1949-52,Republicans,18.83
1953-56,Republicans,41.7
1957-60,Republicans,31.96
1961-64,Republicans,13.77
1965-68,Republicans,12.48
1969-72,Republicans,31.85
1973-76,Republicans,37.39
1946-48,Administration,0.37
1949-52,Administration,0.48
1953-56,Administration,5.27
1957-60,Administration,9.21
1961-64,Administration,1.86
1965-68,Administration,4.13
1969-72,Administration,18
1973-76,Administration,11.59
