Date,Subject,Year,brightness_median,brightness_stdev,hue_median,hue_stdev,saturation_stdev
1946-01-03,All Cartoons,1946,254,84.6561,0,9.4576,1.0227
1946-01-04,All Cartoons,1946,254,89.6484,0,10.6924,0.651
1946-01-05,All Cartoons,1946,242,91.5302,0,9.6222,0.5684
1946-01-06,All Cartoons,1946,173,95.0968,0,11.1534,1.1017
1946-01-07,All Cartoons,1946,246,82.815,0,14.2865,1.0981
1946-01-08,All Cartoons,1946,253,88.2804,0,9.9849,0.7287
1946-01-09,All Cartoons,1946,245,90.2063,0,10.7335,1.2693
1946-01-10,All Cartoons,1946,254,81.0337,0,13.1363,1.0925
1946-01-11,All Cartoons,1946,239,84.742,0,13.7713,1.1985
1946-01-12,All Cartoons,1946,252,83.6732,0,13.0089,0.7611
1946-01-13,All Cartoons,1946,236,85.1084,0,13.7281,1.0222
1946-01-14,All Cartoons,1946,250,89.7934,0,13.0225,1.11
1946-01-15,All Cartoons,1946,248,92.8723,0,13.9126,1.461
1946-01-16,All Cartoons,1946,248,89.4384,0,12.5843,1.5454
1946-01-17,All Cartoons,1946,235,72.8461,0,14.9557,1.3329
1946-01-18,All Cartoons,1946,248,81.0871,0,12.3562,0.8516
1946-01-19,All Cartoons,1946,249,91.3102,0,9.4797,0.5826
1946-01-20,All Cartoons,1946,249,90.5907,0,10.8672,0.9915
1946-01-21,All Cartoons,1946,253,76.4276,0,11.1004,1.1062
1946-01-22,All Cartoons,1946,255,80.5416,0,9.9079,1.3249
1946-01-23,All Cartoons,1946,254,84.0155,0,9.6623,1.0503
1946-01-24,All Cartoons,1946,202,88.9841,0,11.1908,1.0795
1946-01-25,All Cartoons,1946,230,95.2848,0,8.8631,0.6117
1946-01-26,All Cartoons,1946,190,95.2948,0,11.0785,1.2863
1946-01-27,All Cartoons,1946,231,94.7111,0,13.6131,0.6151
1946-01-28,All Cartoons,1946,251,86.6745,0,11.3136,0.6489
1946-01-29,Southerners,1946,244,86.6328,0,10.225,0.6933
1946-01-29,All Cartoons,1946,244,86.6328,0,10.225,0.6933
1946-01-30,All Cartoons,1946,252,83.3933,0,6.5902,0.785
1946-01-31,All Cartoons,1946,251,88.0427,0,13.6597,1.4419
1946-02-01,All Cartoons,1946,254,79.6298,0,11.7027,1.3252
1946-02-02,All Cartoons,1946,254,93.9694,0,12.8726,1.0807
1946-02-03,All Cartoons,1946,247,89.0707,0,10.0058,0.6667
1946-02-04,All Cartoons,1946,254,81.046,0,15.4326,1.3364
1946-02-05,All Cartoons,1946,255,81.4098,0,8.1211,0.7506
1946-02-06,All Cartoons,1946,244,88.0381,0,14.8285,1.4016
1946-02-07,All Cartoons,1946,252,89.9222,0,10.9931,1.0771
1946-02-08,All Cartoons,1946,251,91.654,0,12.2127,0.6296
1946-02-09,All Cartoons,1946,209,80.7544,0,6.7449,0.8704
1946-02-10a,All Cartoons,1946,254,77.4364,0,16.4961,1.1394
1946-02-10b,All Cartoons,1946,254,80.7987,0,11.1603,1.1376
1946-02-11,All Cartoons,1946,254,81.8906,0,14.6751,1.3235
1946-02-12,All Cartoons,1946,255,82.6594,0,10.2084,0.7033
1946-02-13,All Cartoons,1946,251,83.449,0,14.8584,0.7704
1946-02-14,All Cartoons,1946,254,76.2862,0,10.3355,1.1409
1946-02-15,All Cartoons,1946,233,89.6214,0,14.3941,1.5243
1946-02-16,All Cartoons,1946,253,82.1269,0,12.7687,0.691
1946-02-17,All Cartoons,1946,253,82.4608,0,13.708,1.1727
1946-02-18,All Cartoons,1946,249,104.4687,0,8.7423,0.8444
1946-02-19,All Cartoons,1946,237,86.6179,0,16.2685,1.1497
1946-02-20,All Cartoons,1946,242,94.2556,0,10.8078,1.0693
1946-02-21,All Cartoons,1946,251,82.8861,0,14.482,0.7415
1946-02-22,All Cartoons,1946,226,93.746,0,11.6504,1.3303
1946-02-23,All Cartoons,1946,253,82.0418,0,14.0552,1.4482
1946-02-24,All Cartoons,1946,218,93.3668,0,12.7281,1.3772
1946-02-25,All Cartoons,1946,252,83.0713,0,13.7677,1.4183
1946-02-26,All Cartoons,1946,254,79.5102,0,12.8925,0.7194
1946-02-27,All Cartoons,1946,252,92.5815,0,14.1827,0.9605
1946-02-28a,All Cartoons,1946,246,86.4267,0,8.0081,0.7783
1946-02-28b,All Cartoons,1946,248,89.1206,0,13.957,1.4358
1946-03-01,All Cartoons,1946,255,78.9733,0,7.8139,0.7593
1946-03-02,All Cartoons,1946,42,108.9482,0,14.2854,1.0267
1946-03-03,All Cartoons,1946,248,91.7598,0,10.5004,0.6088
1946-03-04,All Cartoons,1946,246,87.6329,0,14.1066,1.0919
1946-03-05,All Cartoons,1946,254,78.1942,0,10.7375,1.1146
1946-03-06,All Cartoons,1946,255,81.2496,0,16.0453,1.1304
1946-03-07,All Cartoons,1946,254,90.8053,0,8.1172,0.76
1946-03-08,All Cartoons,1946,226,99.4068,0,13.9332,0.789
1946-03-09,All Cartoons,1946,249,89.7375,0,10.3735,1.1446
1946-03-10,All Cartoons,1946,148,93.9502,0,14.7805,1.4467
1946-03-11,All Cartoons,1946,251,88.0042,0,8.8763,1.0648
1946-03-12,All Cartoons,1946,249,89.5514,0,13.3244,1.1286
1946-03-13,All Cartoons,1946,250,88.2809,0,8.8513,1.2004
1946-03-14,All Cartoons,1946,190,93.1814,0,13.5634,1.074
1946-03-15,All Cartoons,1946,235,90.6587,0,11.074,1.0747
1946-03-16,All Cartoons,1946,124,102.6217,0,13.9214,1.2745
1946-03-17,All Cartoons,1946,240,89.909,0,10.0717,1.0626
1946-03-18,All Cartoons,1946,252,90.9206,0,15.2151,1.0519
1946-03-19,All Cartoons,1946,254,71.9052,0,12.1554,1.0459
1946-03-20,All Cartoons,1946,251,92.8605,0,13.3941,1.0239
1946-03-21,All Cartoons,1946,196,88.1422,0,12.9095,1.3898
1946-03-22,All Cartoons,1946,182,100.2742,0,14.3943,1.0919
1946-03-23,All Cartoons,1946,249,92.1684,0,10.5671,1.2952
1946-03-24,All Cartoons,1946,255,75.4445,0,14.205,1.2615
1946-03-25,All Cartoons,1946,178,88.8552,0,11.1896,1.1528
1946-03-26,All Cartoons,1946,246,84.9296,0,13.6737,1.1134
