Major Subject,1965,1966,1967,1968
Johnson Administration,25.82,26.54,13.08,14.1
Vietnam War,10.66,9.99,13.46,11.01
Congress,9.43,9.23,17.31,4.41
Civil Rights,6.15,4.23,0.77,2.64
Republican Party,3.28,1.92,0.77,0
France,3.28,1.15,1.15,0.44
Senate,2.87,1.54,1.15,1.76
Space,2.87,1.54,0.38,1.76
Racism,2.87,0,0,0
People's Republic of China,2.05,5.77,3.46,0
US Economy,2.05,3.08,2.69,1.32
Gun Controls,1.23,2.31,1.15,1.76
Soviet Union,1.23,0.77,1.15,3.08
Automotive Industry,0.41,3.08,1.92,0.44
"Presidential Election, 1968",0,1.92,3.46,37
Middle East,0,0.38,5.38,0
Campaign Finance,0,0.38,0.77,0
Other,25.8,26.17,31.95,20.28
50%,50,50,50,50
